MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010415 300  220500-221000   00     218.20  770.5    205.87     1.00    -9999
MEXICOCITY 010415 300  221000-221500   00     217.17  770.5    204.90     0.50    -9999
MEXICOCITY 010415 300  221500-222000   00     217.53  770.4    205.10     0.60    -9999
MEXICOCITY 010415 300  222000-222500   00     218.40  770.4    205.90     1.00    -9999
MEXICOCITY 010415 300  222500-223000   00     216.07  770.3    203.57    -0.10    -9999
MEXICOCITY 010415 300  223000-223500   00     218.27  770.3    205.63     0.90    -9999
MEXICOCITY 010415 300  223500-224000   00     215.90  770.4    203.57    -0.10    -9999
MEXICOCITY 010415 300  224000-224500   00     218.37  770.3    205.73     1.00    -9999
MEXICOCITY 010415 300  224500-225000   00     220.40  770.2    207.50     1.80    -9999
MEXICOCITY 010415 300  225000-225500   00     217.17  770.3    204.60     0.40    -9999
MEXICOCITY 010415 300  225500-230000   00     216.90  770.3    204.33     0.30    -9999
MEXICOCITY 010415 300  230000-230500   00     217.37  770.1    204.50     0.40    -9999
MEXICOCITY 010415 300  230500-231000   00     217.97  770.1    205.07     0.60    -9999
MEXICOCITY 010415 300  231000-231500   00     218.67  770.1    205.73     1.00    -9999
MEXICOCITY 010415 300  231500-232000   00     217.83  770.1    204.93     0.60    -9999
MEXICOCITY 010415 300  232000-232500   00     218.10  770.1    205.20     0.70    -9999
MEXICOCITY 010415 300  232500-233000   00     218.13  770.2    205.37     0.80    -9999
MEXICOCITY 010415 300  233000-233500   00     219.13  770.2    206.30     1.20    -9999
MEXICOCITY 010415 300  233500-234000   00     219.87  770.2    207.00     1.60    -9999
MEXICOCITY 010415 300  234000-234500   00     219.23  770.3    206.53     1.30    -9999
MEXICOCITY 010415 300  234500-235000   00     216.33  770.3    203.80     0.00    -9999
MEXICOCITY 010415 300  235000-235500   00     217.83  770.3    205.23     0.70    -9999
MEXICOCITY 010415 300  235500-240000   00     219.77  770.4    207.20     1.70    -9999
MEXICOCITY 010416 3600 000000-010000   00     217.21  770.8    205.31     0.80    -9999
MEXICOCITY 010416 3600 010000-020000   00     215.23  771.8    204.92     0.60    -9999
MEXICOCITY 010416 3600 020000-030000   00     212.84  773.1    204.57     0.40    -9999
MEXICOCITY 010416 3600 030000-040000   00     211.39  773.8    204.12     0.20    -9999
MEXICOCITY 010416 3600 040000-050000   00     211.46  774.3    204.96     0.60    -9999
MEXICOCITY 010416 3600 050000-060000   00     211.17  774.7    205.29     0.70    -9999
MEXICOCITY 010416 3600 060000-070000   00     211.47  774.6    205.50     0.80    -9999
