APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  124000-124500   00     178.22  997.2    174.66     0.60    -9999
APATITY  L 120517 300  124500-125000   00     176.98  997.3    173.54    -0.10    -9999
APATITY  L 120517 300  125000-125500   00     179.06  997.2    175.47     1.00    -9999
APATITY  L 120517 300  125500-130000   00     179.09  997.1    175.44     1.00    -9999
APATITY  L 120517 300  130000-130500   00     177.38  997.1    173.74     0.00    -9999
APATITY  L 120517 300  130500-131000   00     179.96  997.1    176.19     1.40    -9999
APATITY  L 120517 300  131000-131500   00     181.24  996.8    177.12     2.00    -9999
APATITY  L 120517 300  131500-132000   00     179.60  996.7    175.37     1.00    -9999
APATITY  L 120517 300  132000-132500   00     178.74  996.6    174.36     0.40    -9999
APATITY  L 120517 300  132500-133000   00     177.97  996.6    173.64     0.00    -9999
APATITY  L 120517 300  133000-133500   00     178.77  996.7    174.53     0.50    -9999
APATITY  L 120517 300  133500-134000   00     178.16  996.8    174.07     0.20    -9999
APATITY  L 120517 300  134000-134500   00     176.04  996.7    171.96    -1.00    -9999
APATITY  L 120517 300  134500-135000   00     176.96  996.8    172.93    -0.40    -9999
APATITY  L 120517 300  135000-135500   00     178.13  996.9    174.17     0.30    -9999
APATITY  L 120517 300  135500-140000   00     177.80  996.9    173.82     0.10    -9999
APATITY  L 120517 300  140000-140500   00     178.06  996.8    174.04     0.20    -9999
APATITY  L 120517 300  140500-141000   00     177.59  996.7    173.39    -0.20    -9999
APATITY  L 120517 300  141000-141500   00     178.43  996.6    174.11     0.20    -9999
APATITY  L 120517 300  141500-142000   00     178.66  996.8    174.58     0.50    -9999
APATITY  L 120517 300  142000-142500   00     177.64  996.7    173.45    -0.10    -9999
APATITY  L 120517 300  142500-143000   00     177.93  996.7    173.74     0.00    -9999
APATITY  L 120517 300  143000-143500   00     177.38  996.4    172.87    -0.50    -9999
APATITY  L 120517 300  143500-144000   00     176.81  996.4    172.33    -0.80    -9999
APATITY  L 120517 300  144000-144500   00     177.77  996.5    173.36    -0.20    -9999
APATITY  L 120517 300  144500-145000   00     179.27  996.4    174.62     0.50    -9999
APATITY  L 120517 300  145000-145500   00     177.20  996.3    172.58    -0.60    -9999
