SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  133000-133500   00     307.34  680.3    308.24     2.30    -9999
SOUTH POLE 120517 300  133500-134000   00     308.22  680.3    309.07     2.50    -9999
SOUTH POLE 120517 300  134000-134500   00     306.46  680.3    307.24     1.90    -9999
SOUTH POLE 120517 300  134500-135000   00     306.44  680.3    307.19     1.90    -9999
SOUTH POLE 120517 300  135000-135500   00     305.39  680.2    306.08     1.60    -9999
SOUTH POLE 120517 300  135500-140000   00     307.70  680.2    308.29     2.30    -9999
SOUTH POLE 120517 300  140000-140500   00     306.51  680.1    306.97     1.90    -9999
SOUTH POLE 120517 300  140500-141000   00     307.79  680.1    308.16     2.20    -9999
SOUTH POLE 120517 300  141000-141500   00     307.13  680.1    307.44     2.00    -9999
SOUTH POLE 120517 300  141500-142000   00     304.53  680.1    304.81     1.10    -9999
SOUTH POLE 120517 300  142000-142500   00     305.58  680.0    305.71     1.40    -9999
SOUTH POLE 120517 300  142500-143000   00     303.38  679.9    303.34     0.60    -9999
SOUTH POLE 120517 300  143000-143500   00     307.06  679.9    306.89     1.80    -9999
SOUTH POLE 120517 300  143500-144000   00     306.36  679.8    306.05     1.50    -9999
SOUTH POLE 120517 300  144000-144500   00     306.93  679.8    306.60     1.70    -9999
SOUTH POLE 120517 300  144500-145000   00     306.49  679.8    306.13     1.60    -9999
SOUTH POLE 120517 300  145000-145500   00     307.82  679.8    307.47     2.00    -9999
SOUTH POLE 120517 300  145500-150000   00     309.26  679.8    308.85     2.50    -9999
SOUTH POLE 120517 300  150000-150500   00     307.32  679.7    306.78     1.80    -9999
SOUTH POLE 120517 300  150500-151000   00     304.59  679.6    303.88     0.80    -9999
SOUTH POLE 120517 300  151000-151500   00     307.69  679.6    306.85     1.80    -9999
