HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031029 300  040000-040500   00     111.90 1011.5    111.26     1.00    -9999
HERMANUS   031029 300  040500-041000   00     112.54 1011.6    111.93     1.60    -9999
HERMANUS   031029 300  041000-041500   00     115.20 1011.6    114.61     4.10    -9999
HERMANUS   031029 300  041500-042000   00     114.92 1011.6    114.37     3.80    -9999
HERMANUS   031029 300  042000-042500   00     114.09 1011.7    113.59     3.10    -9999
HERMANUS   031029 300  042500-043000   00     113.83 1011.7    113.36     2.90    -9999
HERMANUS   031029 300  043000-043500   00     115.53 1011.8    115.09     4.50    -9999
HERMANUS   031029 300  043500-044000   00     113.66 1011.8    113.25     2.80    -9999
HERMANUS   031029 300  044000-044500   00     113.93 1011.8    113.56     3.10    -9999
HERMANUS   031029 300  044500-045000   00     115.02 1011.9    114.68     4.10    -9999
HERMANUS   031029 300  045000-045500   00     113.07 1011.9    112.77     2.40    -9999
HERMANUS   031029 300  045500-050000   00     114.99 1012.0    114.72     4.10    -9999
HERMANUS   031029 300  050000-050500   00     113.58 1012.0    113.33     2.90    -9999
HERMANUS   031029 300  050500-051000   00     114.81 1012.0    114.57     4.00    -9999
HERMANUS   031029 300  051000-051500   00     111.79 1012.0    111.56     1.30    -9999
HERMANUS   031029 300  051500-052000   00     113.36 1012.0    113.13     2.70    -9999
HERMANUS   031029 300  052000-052500   00     114.59 1012.0    114.37     3.80    -9999
HERMANUS   031029 300  052500-053000   00     112.81 1012.0    112.61     2.20    -9999
HERMANUS   031029 300  053000-053500   00     112.76 1012.1    112.56     2.20    -9999
HERMANUS   031029 300  053500-054000   00     114.36 1012.1    114.16     3.60    -9999
HERMANUS   031029 300  054000-054500   00     112.56 1012.1    112.37     2.00    -9999
HERMANUS   031029 300  054500-055000   00     114.23 1012.1    114.05     3.60    -9999
HERMANUS   031029 300  055000-055500   00     113.45 1012.1    113.27     2.80    -9999
HERMANUS   031029 300  055500-060000   00     111.07 1012.1    110.90     0.70    -9999
HERMANUS   031029 300  060000-060500   00     113.79 1012.1    113.64     3.20    -9999
HERMANUS   031029 300  060500-061000   00     114.43 1012.1    114.30     3.80    -9999
HERMANUS   031029 300  061000-061500   00     112.66 1012.2    112.56     2.20    -9999
HERMANUS   031029 300  061500-062000   00     113.22 1012.2    113.15     2.70    -9999
HERMANUS   031029 300  062000-062500   00     114.45 1012.2    114.41     3.90    -9999
HERMANUS   031029 300  062500-063000   00     114.33 1012.3    114.31     3.80    -9999
HERMANUS   031029 300  063000-063500   00     112.00 1012.3    112.01     1.70    -9999
