GOOSE BAY  LATITUDE    53.27     LONGITUDE     299.6     ALTITUDE    46 M
GOOSE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
GOOSE BAY  STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
GOOSE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
GOOSE BAY  PRE-INCREASE AVERAGE COUNTING RATE    168.03      COUNTS PER SECOND
GOOSE BAY  TIME INTERVALS    60          300         3600     
GOOSE BAY  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
GOOSE BAY  000714 60   135300-135400   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   135400-135500   00     190.50  754.5    184.03     9.50     9.50
GOOSE BAY  000714 60   135500-135600   00     188.83  754.5    182.42     8.60     8.60
GOOSE BAY  000714 60   135600-135700   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   135700-135800   00     197.49  754.5    190.79    13.50    13.50
GOOSE BAY  000714 60   135800-135900   00     185.50  754.5    179.20     6.60     6.60
GOOSE BAY  000714 60   135900-140000   00     193.83  754.5    187.25    11.40    11.40
GOOSE BAY  000714 60   140000-140100   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   140100-140200   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   140200-140300   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   140300-140400   00     182.17  754.5    175.98     4.70     4.70
GOOSE BAY  000714 60   140400-140500   00     187.17  754.5    180.81     7.60     7.60
GOOSE BAY  000714 60   140500-140600   00     190.50  754.6    184.21     9.60     9.60
GOOSE BAY  000714 60   140600-140700   00     187.17  754.5    180.81     7.60     7.60
GOOSE BAY  000714 60   140700-140800   00     190.50  754.5    184.03     9.50     9.50
GOOSE BAY  000714 60   140800-140900   00     190.50  754.5    184.03     9.50     9.50
GOOSE BAY  000714 60   140900-141000   00     188.83  754.5    182.42     8.60     8.60
GOOSE BAY  000714 60   141000-141100   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   141100-141200   00     190.50  754.5    184.03     9.50     9.50
GOOSE BAY  000714 60   141200-141300   00     189.15  754.5    182.73     8.70     8.70
GOOSE BAY  000714 60   141300-141400   00     193.83  754.5    187.25    11.40    11.40
GOOSE BAY  000714 60   141400-141500   00     187.17  754.4    180.63     7.50     7.50
GOOSE BAY  000714 60   141500-141600   00     192.17  754.4    185.46    10.40    10.40
GOOSE BAY  000714 60   141600-141700   00     185.50  754.5    179.20     6.60     6.60
GOOSE BAY  000714 60   141700-141800   00     185.50  754.5    179.20     6.60     6.60
GOOSE BAY  000714 60   141800-141900   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   141900-142000   00     187.17  754.4    180.63     7.50     7.50
GOOSE BAY  000714 60   142000-142100   00     190.50  754.4    183.85     9.40     9.40
GOOSE BAY  000714 60   142100-142200   00     187.17  754.5    180.81     7.60     7.60
GOOSE BAY  000714 60   142200-142300   00     187.17  754.5    180.81     7.60     7.60
GOOSE BAY  000714 60   142300-142400   00     185.50  754.5    179.20     6.60     6.60
