,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
16,1,90.0,0.0,2.0,0.010487806056423717,0.014877252289830611,0.0023427749621219166,0.0073762504183719525,0.004616348029724061,0.0029439803132194214,4.616348029724061e-16,4.616348029724061e-11,2012-05-17 03:15:00+00:00
16,2,90.0,0.0,5.0,0.12079230688452375,0.16576891735796603,0.0660594931823849,0.08203094933006137,0.052584784690035,0.03471663568728463,5.2584784690034995e-15,5.2584784690035e-10,2012-05-17 03:15:00+00:00
16,3,90.0,0.0,12.0,4.390089590196675,5.4507404633303915,2.9092286007358155,2.563335663076446,1.6301518236239534,1.0784246440670724,1.6301518236239535e-13,1.6301518236239535e-08,2012-05-17 03:15:00+00:00
16,4,90.0,0.0,20.0,81.81842352205192,54.39041946008137,53.60436959567483,12.817948442978974,7.781122480653869,5.001132663157035,7.781122480653869e-13,7.781122480653868e-08,2012-05-17 03:15:00+00:00
17,0,90.0,0.0,0.0,0.0012892505610358083,0.001820333198678882,0.00013886100745531298,0.0008995517729522831,0.0005134951809228597,0.0003337268060656054,5.134951809228597e-17,5.134951809228597e-12,2012-05-17 03:20:00+00:00
17,1,90.0,0.0,2.0,0.009404015797061712,0.013361696856310978,0.0020577349592954272,0.006626755435352411,0.004145251734458561,0.0026400425687322713,4.145251734458561e-16,4.145251734458561e-11,2012-05-17 03:20:00+00:00
17,2,90.0,0.0,5.0,0.10869977146546288,0.14943512305490617,0.059244304154886664,0.07397422909586626,0.047405337899166115,0.03128033064619616,4.740533789916612e-15,4.740533789916611e-10,2012-05-17 03:20:00+00:00
17,3,90.0,0.0,12.0,3.958908909158552,4.93996175428904,2.629244257870765,2.3273334340709577,1.4798057068800499,0.9784306756443575,1.47980570688005e-13,1.4798057068800499e-08,2012-05-17 03:20:00+00:00
17,4,90.0,0.0,20.0,74.60427816750075,49.77476442544715,49.14822347886826,11.720039292687403,7.113125703236006,4.568912054276201,7.113125703236005e-13,7.113125703236006e-08,2012-05-17 03:20:00+00:00
18,0,90.0,0.0,0.0,0.0012767335653048276,0.0018026600608378326,0.00013751284233520173,0.00089081826059857,0.0005085097908197045,0.0003304867399891761,5.0850979081970455e-17,5.085097908197045e-12,2012-05-17 03:25:00+00:00
18,1,90.0,0.0,2.0,0.00931271467287072,0.013231971644187806,0.0020377569499940443,0.006562418003977913,0.00410500657201106,0.00261441108749713,4.1050065720110597e-16,4.1050065720110595e-11,2012-05-17 03:25:00+00:00
18,2,90.0,0.0,5.0,0.10764443387901776,0.1479842966182983,0.05866911673624007,0.07325603269728197,0.046945091900404586,0.03097663811582207,4.694509190040459e-15,4.694509190040458e-10,2012-05-17 03:25:00+00:00
18,3,90.0,0.0,12.0,3.9204729003534564,4.892000960584714,2.6037176146047765,2.304737963849732,1.4654386611901207,0.968931348701609,1.4654386611901207e-13,1.4654386611901208e-08,2012-05-17 03:25:00+00:00
18,4,90.0,0.0,20.0,73.87996478762507,49.291514285653875,48.67105626088182,11.606252503499377,7.044066230426319,4.52455368484119,7.044066230426319e-13,7.044066230426319e-08,2012-05-17 03:25:00+00:00
19,0,90.0,0.0,0.0,0.0013000487506757237,0.0018351801030671725,0.00014278235834123154,0.000906615675161381,0.0005185074355855031,0.000336829639113757,5.185074355855031e-17,5.185074355855031e-12,2012-05-17 03:30:00+00:00
19,1,90.0,0.0,2.0,0.0094577536760229,0.013416093582992457,0.002112680992661151,0.0066517972523803225,0.004162956705437873,0.0026548393896391785,4.162956705437873e-16,4.162956705437873e-11,2012-05-17 03:30:00+00:00
